Обращение,Вр__создания_обращения,Вр__создания_обращения_с_учетом_ЗО_инициатора,ВРЕМЯ_ЗАКРЫТИЯ,IP_адрес,РПА,Доля,ТЗ,Порядок,Объект,Наряд,Направление_РГ,Рабочая_группа,Исполнитель,Полигон_инициатора,ФИО,Подразделение_инициатора,Способ_обращения,Причина_обращения,АСОЗ,ВП,ОСК,Услуга,ЭК_запроса_наряда,Направление_проблем,ЭК_робота,Код_мероприятия_РРО,Шаблон_запроса,ВОЗВРАЩЕНО,ВОЗВРАЩЕНО_ОШИБОЧНО,КРАТКОЕ_ОПИСАНИЕ,ПОДРОБНОЕ_ОПИСАНИЕ,РЕШЕНИЕ
ОБР25-06122636,28.05.2025 8:03:15,28.05.2025 12:03:15,,,сотрудник,"1,00",14.0,1,ЗАП25-05137026,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Красноярская ЖД,Иванов Иван Иванович,АФТО-КРАСНОЯРСК-КРАСН,телефон,Технологическая консультация в рамках инструкции,,,,09.02 КАСАНТ,КАСАНТ,направление цтс пик (бд),ИИ-ЦРТ-КАСАНТ-КАСАТ-ТС-0005-ОБЩЕЕ,ПИК-ИИ-РПА-0088,ЦТС-КОНСУЛЬТАЦИЯ ПО ДРУГИМ ВОПРОСАМ КАСАНТ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06166589,29.05.2025 5:32:35,29.05.2025 8:32:35,,,сотрудник,"1,00",27.0,1,ЗАП25-05172376,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Западно-Сибирская ЖД,Иванов Иван Иванович,ДТ-ТЧ-3-БАРАБИНСК-ЭКСПЛУАТАЦИЯ-ЗСИБ,Чат бот помощник,Технологическая консультация в рамках инструкции,,,да,09.03 АСУТ-НБД,АСУТ-НБД,направление цтс пик (бд),ИИ-ЦРТ-АСУТ-НБД-КОНСУЛЬТАЦИЯ-ТС-0001-ОБЩЕЕ,ИИ-ЦТС-ИНФР-0052,ЦТС-ПИК-ЧАТ-БОТ-ПОЛУЧИТЬ-ССЫЛКУ-АСУТ-НБД,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06167704,29.05.2025 6:19:04,29.05.2025 10:19:04,,,сотрудник,"1,00",25.0,1,ЗАП25-05173172,дочерний объект,Направление ЦТС ИНФР,БД-ПП,Чашкин Леонид Борисович,Красноярская ЖД,Иванов Иван Иванович,ДЦС-АБАК-КРАСН,электронная почта,Установка/Настройка АС на РМ,,,,09.03 АС РБ КР,АС-РБ-КР,направление цтс пик (бд),,,ЦТС-КОНСУЛЬТАЦИЯ ПО АС РБ КР,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06207022,29.05.2025 17:57:12,29.05.2025 17:57:12,,,сотрудник,"1,00",57.0,1,ЗАП25-05204705,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Октябрьская ЖД,Иванов Иван Иванович,ДИ-ОКТ,телефон,Методологический вопрос,,,,06.05 МРМ ВХ,МРМ-ВХ,направление цтс пик (вх),,,ЦТС-ИНФР-ПРОБЛЕМЫ С ЗАГРУЗКОЙ МРМ ВХ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06214196,30.05.2025 1:59:37,30.05.2025 8:59:37,,,сотрудник,"0,38",55.0,1,ЗАП25-05209842,дочерний объект,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ВЧДЭ-4-ДВС,Чат бот помощник,Технологическая консультация в рамках инструкции,,,,06.05 ЕК АСУВ,ЕК-АСУВ,направление цтс пик (вх),ИИ-ЦРТ-ЕКАСУВ-ОТЧЕТ-ТС-0001-ОБЩЕЕ,ИИ-ЦТС-ИНФР-0079,ЦТС-ИНФР-ЧАТ-БОТ-КОНСУЛЬТАЦИЯ-ПО-ОШИБКЕ-ПРИ-ВЫГРУЗКЕ-ОТЧЕТОВ-ЕК-АСУВ,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06214196,30.05.2025 1:59:37,30.05.2025 8:59:37,,,сотрудник,"0,51",74.0,2,ЗАП25-05209955,связанный наряд,Направление ЦТС ИНФР,ИЖТ-ЭКС-В,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ВЧДЭ-4-ДВС,,-,,,,06.05 ЕК АСУВ,ЕК-АСУВ,направление цтс пик (вх),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06214196,30.05.2025 1:59:37,30.05.2025 8:59:37,,,сотрудник,"0,11",16.0,3,ЗАП25-05253891,связанный наряд,Направление ЦТС ИНФР,ИЖТ-ПП-В,Чашкин Леонид Борисович,Дальневосточная ЖД,Иванов Иван Иванович,ВЧДЭ-4-ДВС,,-,,,,06.05 ЕК АСУВ,ЕК-АСУВ,направление цтс пик (вх),,,,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06238218,30.05.2025 11:51:41,30.05.2025 11:51:41,,,сотрудник,"1,00",18.0,1,ЗАП25-05228745,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06239206,30.05.2025 12:11:42,30.05.2025 12:11:42,,,сотрудник,"1,00",18.0,1,ЗАП25-05229471,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
ОБР25-06241169,30.05.2025 13:08:01,30.05.2025 13:08:01,,,сотрудник,"1,00",18.0,1,ЗАП25-05230934,дочерний объект,Направление ЦТС ПАСС,ПАСС-НСИ-ВОЛГА,Чашкин Леонид Борисович,Горьковская ЖД,Иванов Иван Иванович,УГЖД-ГОР,Чат бот помощник,Ведение НСИ,,,,04.02 НСИ АСУ ЭКСПРЕСС-3,НСИ-АСУ-ЭКСПРЕСС,направление цтс пик (пасс-экспресс),ИИ-ЦРТ-РЕГ-ОБР-С-ВЛОЖЕНИЕМ-НА-РАБОТУ-С-ЭТТ-ТС-0001-ОБЩЕЕ,ПИК-ИИ-РПА-0208,ВОЛГА-ЦТС-ПИК-ЭТТ-НСИ-АСУ-ЭКСПРЕСС-ОТКР-ЧБП,0,0,Краткое описание запроса,Подробное описание запроса,Решение
